0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
107.16143,4.2371135,0.0,94.33859,0.0,17.941948,0.0,0.0,0.0,32.35717,31.741106,0.0,9.310177,43.93361,82.298096,48.324955,0.0,69.448685,0.0,0.0
102.11555,3.6425383,0.0,97.37687,0.0,17.718464,0.0,0.0,0.0,25.102526,29.34238,0.0,11.073588,48.222298,81.63644,52.79178,0.0,69.30461,0.0,0.0
89.63499,0.0,0.0,96.15501,0.0,12.675969,0.0,0.0,0.0,18.488373,16.436716,0.0,17.323112,49.4268,81.11158,50.276924,0.0,67.29755,0.0,0.0
106.65298,1.8322424,0.0,101.786446,0.0,17.505064,0.0,0.0,0.0,22.277649,23.214767,0.0,14.343702,46.593037,85.37605,50.54614,0.0,75.64331,0.0,0.0
126.69496,5.383314,0.0,69.27139,0.0,28.26932,0.0,0.0,0.0,57.530308,46.089607,0.0,28.883688,100.93255,100.57171,78.25291,0.0,39.183666,0.0,0.0
113.92734,2.9819388,0.0,64.64374,0.0,21.805605,0.0,0.0,0.0,56.169712,38.043,0.0,19.059303,68.914955,88.980316,54.141838,0.0,43.276344,0.0,0.0
136.45186,8.468493,0.0,71.527084,0.0,29.269066,0.0,0.0,0.0,74.791824,59.006454,0.0,19.969534,94.62764,104.6121,75.255684,0.0,41.29173,0.0,0.0
132.727,9.920752,0.0,89.43387,0.0,30.006819,0.0,0.0,0.0,44.79895,44.030537,0.0,23.017773,87.68729,100.665764,77.2785,0.0,56.497547,0.0,0.0
116.86957,8.715105,0.0,76.275215,0.0,24.444662,0.0,0.0,0.0,45.010944,39.46573,0.0,15.591885,64.72681,86.21132,58.271008,0.0,52.01566,0.0,0.0
122.77754,6.8470654,0.0,68.239525,0.0,27.37827,0.0,0.0,0.0,60.191257,49.3176,0.0,22.265425,91.87755,95.465454,73.73781,0.0,37.107628,0.0,0.0
81.99567,0.0,0.0,85.80696,0.0,7.6496954,0.0,0.0,0.0,22.565977,11.736612,0.0,13.843206,32.780533,74.43002,33.499245,0.0,65.88153,0.0,0.0
146.21713,16.156738,0.0,66.720726,0.0,35.80652,0.0,0.0,0.0,69.742966,61.999786,0.0,24.12775,104.99166,103.74124,84.50265,0.0,36.94046,0.0,0.0
